Donor,SMILES,SMILES w/o R_group replacement,SMILES w/o R_group,Big_SMILES,SELFIES
PBDT-2TC,Cc1ccc(-c2sc(-c3cc4c(-c5ccc([Cr])s5)c5sc(C)cc5c(-c5ccc([Cr])s5)c4s3)cc2C(=O)O[Co])s1,Cc1sc2c(c3sc([R4])cc3)c3cc(c4cc(C(O[R7])=O)c(c5sc(C)cc5)s4)sc3c(c3sc([R4])cc3)c2c1, ,{[$]c1ccc(-c2sc(-c3cc4c(-c5ccc([Cr])s5)c5sc([$])cc5c(-c5ccc([Cr])s5)c4s3)cc2C(=O)O[Co])s1},[C][C][=C][C][=C][Branch2][Branch1][P][C][S][C][Branch2][Ring2][S][C][=C][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][Cr][S][Ring1][=Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][O][C][=C][C][=C][Branch1][C][Cr][S][Ring1][=Branch1][=C][Ring2][Ring1][=Branch1][S][Ring2][Ring1][=Branch2][=C][C][=Ring2][Ring1][=C][C][=Branch1][C][=O][O][Co][S][Ring2][Ring2][#Branch1]
PBDT-S-2TC,Cc1ccc(-c2sc(-c3cc4c(-c5ccc(S[Cr])s5)c5sc(C)cc5c(-c5ccc(S[Cr])s5)c4s3)cc2C(=O)O[Co])s1,Cc1sc2c(c3sc(S[R4])cc3)c3cc(c4cc(C(O[R7])=O)c(c5sc(C)cc5)s4)sc3c(c3sc(S[R4])cc3)c2c1, ,{[$]c1ccc(-c2sc(-c3cc4c(-c5ccc(S[Cr])s5)c5sc([$])cc5c(-c5ccc(S[Cr])s5)c4s3)cc2C(=O)O[Co])s1},[C][C][=C][C][=C][Branch2][=Branch1][Ring1][C][S][C][Branch2][Branch1][C][C][=C][C][=C][Branch1][N][C][=C][C][=C][Branch1][Ring1][S][Cr][S][Ring1][#Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][N][C][=C][C][=C][Branch1][Ring1][S][Cr][S][Ring1][#Branch1][=C][Ring2][Ring1][Branch2][S][Ring2][Ring1][O][=C][C][=Ring2][Ring1][S][C][=Branch1][C][=O][O][Co][S][Ring2][Ring2][=Branch2]
PBDT-TDZ,Cc1cc2c(-c3ccc([Co])s3)c3sc(-c4sc(-c5nnc(-c6cc([Ti])c(C)s6)s5)cc4[Ti])cc3c(-c3ccc([Co])s3)c2s1,[R7]c1sc(c2c3cc(C)sc3c(c3sc([R7])cc3)c3cc(c4c([R2])cc(c5sc(c6cc([R2])c(C)s6)nn5)s4)sc32)cc1, ,{[$]c1cc2c(-c3ccc([Co])s3)c3sc(-c4sc(-c5nnc(-c6cc([Ti])c([$])s6)s5)cc4[Ti])cc3c(-c3ccc([Co])s3)c2s1},[C][C][=C][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][Co][S][Ring1][=Branch1][C][S][C][Branch2][Ring2][C][C][S][C][Branch2][Ring1][#Branch1][C][=N][N][=C][Branch1][=C][C][=C][C][Branch1][C][Ti][=C][Branch1][C][C][S][Ring1][#Branch1][S][Ring1][N][=C][C][=Ring1][P][Ti][=C][C][=Ring2][Ring1][#Branch1][C][Branch1][O][C][=C][C][=C][Branch1][C][Co][S][Ring1][=Branch1][=C][Ring2][Ring2][#Branch1][S][Ring2][Ring2][#Branch2]
PBDTS-TDZ,Cc1cc2c(-c3ccc(S[Co])s3)c3sc(-c4sc(-c5nnc(-c6cc([Ti])c(C)s6)s5)cc4[Ti])cc3c(-c3ccc(S[Co])s3)c2s1,Cc1sc2c(c3sc(S[R7])cc3)c3cc(c4c([R2])cc(c5sc(c6cc([R2])c(C)s6)nn5)s4)sc3c(c3sc(S[R7])cc3)c2c1, ,{[$]c1cc2c(-c3ccc(S[Co])s3)c3sc(-c4sc(-c5nnc(-c6cc([Ti])c([$])s6)s5)cc4[Ti])cc3c(-c3ccc(S[Co])s3)c2s1},[C][C][=C][C][=C][Branch1][N][C][=C][C][=C][Branch1][Ring1][S][Co][S][Ring1][#Branch1][C][S][C][Branch2][Ring2][C][C][S][C][Branch2][Ring1][#Branch1][C][=N][N][=C][Branch1][=C][C][=C][C][Branch1][C][Ti][=C][Branch1][C][C][S][Ring1][#Branch1][S][Ring1][N][=C][C][=Ring1][P][Ti][=C][C][=Ring2][Ring1][#Branch1][C][Branch1][N][C][=C][C][=C][Branch1][Ring1][S][Co][S][Ring1][#Branch1][=C][Ring2][Ring2][=Branch2][S][Ring2][Ring2][N]
S-PBDT,Cc1cc2c(-c3ccc(S[Cr])s3)c3sc(C)cc3c(-c3ccc(S[Cr])s3)c2s1,Cc1sc2c(c3sc(S[R4])cc3)c3cc(C)sc3c(c3sc(S[R4])cc3)c2c1, ,{[$]c1cc2c(-c3ccc(S[Cr])s3)c3sc([$])cc3c(-c3ccc(S[Cr])s3)c2s1},[C][C][=C][C][=C][Branch1][N][C][=C][C][=C][Branch1][Ring1][S][Cr][S][Ring1][#Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][N][C][=C][C][=C][Branch1][Ring1][S][Cr][S][Ring1][#Branch1][=C][Ring2][Ring1][Branch2][S][Ring2][Ring1][O]
PBDT-DFBO,Cc1ccc(-c2c(O[Ti])c(O[Ti])c(-c3ccc(-c4cc5c(O[Cr])c6sc(C)cc6c(O[Cr])c5s4)o3)c3nonc23)o1,Cc1sc2c(O[R4])c3cc(c4ccc(c5c6nonc6c(c6ccc(C)o6)c(O[R2])c5O[R2])o4)sc3c(O[R4])c2c1, ,{[$]c1ccc(-c2c(O[Ti])c(O[Ti])c(-c3ccc(-c4cc5c(O[Cr])c6sc([$])cc6c(O[Cr])c5s4)o3)c3nonc23)o1},[C][C][=C][C][=C][Branch2][=Branch1][C][C][=C][Branch1][Ring1][O][Ti][C][Branch1][Ring1][O][Ti][=C][Branch2][Ring2][=Branch2][C][=C][C][=C][Branch2][Ring1][=C][C][=C][C][=C][Branch1][Ring1][O][Cr][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][Ring1][O][Cr][=C][Ring1][=C][S][Ring1][P][O][Ring2][Ring1][=Branch1][C][=N][O][N][=C][Ring2][Ring2][Ring1][Ring1][Branch1][O][Ring2][Ring2][Branch2]
PBDTT-DFBO,Cc1ccc(-c2c(O[Ti])c(O[Ti])c(-c3ccc(-c4cc5c(-c6ccc([Cr])s6)c6sc(C)cc6c(-c6ccc([Cr])s6)c5s4)o3)c3nonc23)o1,Cc1sc2c(c3sc([R4])cc3)c3cc(c4ccc(c5c6nonc6c(c6ccc(C)o6)c(O[R2])c5O[R2])o4)sc3c(c3sc([R4])cc3)c2c1, ,{[$]c1ccc(-c2c(O[Ti])c(O[Ti])c(-c3ccc(-c4cc5c(-c6ccc([Cr])s6)c6sc([$])cc6c(-c6ccc([Cr])s6)c5s4)o3)c3nonc23)o1},[C][C][=C][C][=C][Branch2][#Branch1][Ring2][C][=C][Branch1][Ring1][O][Ti][C][Branch1][Ring1][O][Ti][=C][Branch2][Branch1][O][C][=C][C][=C][Branch2][Ring2][S][C][=C][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][Cr][S][Ring1][=Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][O][C][=C][C][=C][Branch1][C][Cr][S][Ring1][=Branch1][=C][Ring2][Ring1][=Branch1][S][Ring2][Ring1][=Branch2][O][Ring2][Ring1][=C][C][=N][O][N][=C][Ring2][Ring2][O][Ring1][Branch1][O][Ring2][Ring2][S]
PBDTF-DFBO,Cc1ccc(-c2c(O[Ti])c(O[Ti])c(-c3ccc(-c4cc5c(-c6ccc([Cr])o6)c6sc(C)cc6c(-c6ccc([Cr])o6)c5s4)o3)c3nonc23)o1,Cc1sc2c(c3oc([R4])cc3)c3cc(c4ccc(c5c6nonc6c(c6ccc(C)o6)c(O[R2])c5O[R2])o4)sc3c(c3oc([R4])cc3)c2c1, ,{[$]c1ccc(-c2c(O[Ti])c(O[Ti])c(-c3ccc(-c4cc5c(-c6ccc([Cr])o6)c6sc([$])cc6c(-c6ccc([Cr])o6)c5s4)o3)c3nonc23)o1},[C][C][=C][C][=C][Branch2][#Branch1][Ring2][C][=C][Branch1][Ring1][O][Ti][C][Branch1][Ring1][O][Ti][=C][Branch2][Branch1][O][C][=C][C][=C][Branch2][Ring2][S][C][=C][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][Cr][O][Ring1][=Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][O][C][=C][C][=C][Branch1][C][Cr][O][Ring1][=Branch1][=C][Ring2][Ring1][=Branch1][S][Ring2][Ring1][=Branch2][O][Ring2][Ring1][=C][C][=N][O][N][=C][Ring2][Ring2][O][Ring1][Branch1][O][Ring2][Ring2][S]
PBDT-DTBT,Cc1cc2c(-c3cc([Tc])c([Tc])s3)c3sc(-c4sc(-c5ccc(-c6cc([Mo])c(C)s6)c6nsnc56)cc4[Mo])cc3c(-c3cc([Tc])c([Tc])s3)c2s1,Cc1sc2c(c3sc([R15])c([R15])c3)c3cc(c4c([R14])cc(c5ccc(c6cc([R14])c(C)s6)c6c5nsn6)s4)sc3c(c3sc([R15])c([R15])c3)c2c1, ,{[$]c1cc2c(-c3cc([Tc])c([Tc])s3)c3sc(-c4sc(-c5ccc(-c6cc([Mo])c([$])s6)c6nsnc56)cc4[Mo])cc3c(-c3cc([Tc])c([Tc])s3)c2s1},[C][C][=C][C][=C][Branch1][=C][C][=C][C][Branch1][C][Tc][=C][Branch1][C][Tc][S][Ring1][#Branch1][C][S][C][Branch2][Ring2][=Branch2][C][S][C][Branch2][Ring1][=N][C][=C][C][=C][Branch1][=C][C][=C][C][Branch1][C][Mo][=C][Branch1][C][C][S][Ring1][#Branch1][C][=N][S][N][=C][Ring1][S][Ring1][Branch1][=C][C][=Ring2][Ring1][Branch1][Mo][=C][C][=Ring2][Ring1][O][C][Branch1][=C][C][=C][C][Branch1][C][Tc][=C][Branch1][C][Tc][S][Ring1][#Branch1][=C][Ring2][Ring2][=N][S][Ring2][Ring2][S]
PBDT-BX,Cc1cc2c(O[Ti])c3sc(-c4c(O[Tc])c(O[Tc])c(C)c5nonc45)cc3c(O[Ti])c2s1,Cc1sc2c(O[R2])c3cc(c4c5nonc5c(C)c(O[R15])c4O[R15])sc3c(O[R2])c2c1, ,{[$]c1cc2c(O[Ti])c3sc(-c4c(O[Tc])c(O[Tc])c([$])c5nonc45)cc3c(O[Ti])c2s1},[C][C][=C][C][=C][Branch1][Ring1][O][Ti][C][S][C][Branch2][Ring1][=Branch2][C][=C][Branch1][Ring1][O][Tc][C][Branch1][Ring1][O][Tc][=C][Branch1][C][C][C][=N][O][N][=C][Ring1][=C][Ring1][Branch1][=C][C][=Ring2][Ring1][Ring1][C][Branch1][Ring1][O][Ti][=C][Ring2][Ring1][O][S][Ring2][Ring1][=C]
PBDT-DTBX,Cc1ccc(-c2c(O[Tc])c(O[Tc])c(-c3ccc(-c4cc5c(O[Ti])c6sc(C)cc6c(O[Ti])c5s4)s3)c3nonc23)s1,Cc1sc2c(O[R2])c3cc(c4sc(c5c6nonc6c(c6ccc(C)s6)c(O[R15])c5O[R15])cc4)sc3c(O[R2])c2c1, ,{[$]c1ccc(-c2c(O[Tc])c(O[Tc])c(-c3ccc(-c4cc5c(O[Ti])c6sc([$])cc6c(O[Ti])c5s4)s3)c3nonc23)s1},[C][C][=C][C][=C][Branch2][=Branch1][C][C][=C][Branch1][Ring1][O][Tc][C][Branch1][Ring1][O][Tc][=C][Branch2][Ring2][=Branch2][C][=C][C][=C][Branch2][Ring1][=C][C][=C][C][=C][Branch1][Ring1][O][Ti][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][Ring1][O][Ti][=C][Ring1][=C][S][Ring1][P][S][Ring2][Ring1][=Branch1][C][=N][O][N][=C][Ring2][Ring2][Ring1][Ring1][Branch1][S][Ring2][Ring2][Branch2]
FTAZ,Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c([Co])c6sc(C)cc6c([Co])c5s4)s3)c3nn([Co])nc23)s1,Cc1sc2c([R7])c3cc(c4ccc(c5c6nn([R7])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c([R7])c2c1, ,{[$]c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c([Co])c6sc([$])cc6c([Co])c5s4)s3)c3nn([Co])nc23)s1},[C][C][=C][C][=C][Branch2][Branch1][P][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Ring2][#Branch1][C][=C][C][=C][Branch2][Ring1][N][C][=C][C][=C][Branch1][C][Co][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][C][Co][=C][Ring1][N][S][Ring1][#C][S][Ring2][Ring1][Ring2][C][=N][N][Branch1][C][Co][N][=C][Ring2][Ring1][S][Ring1][=Branch1][S][Ring2][Ring2][Branch1]
PBFZ-OP,Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6cccc(O[Cr])c6)c6sc(C)cc6c(-c6cccc(O[Cr])c6)c5s4)s3)c3nn([Sc])nc23)s1,Cc1sc2c(c3cc(O[R4])ccc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3cc(O[R4])ccc3)c2c1, ,{[$]c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6cccc(O[Cr])c6)c6sc([$])cc6c(-c6cccc(O[Cr])c6)c5s4)s3)c3nn([Sc])nc23)s1},[C][C][=C][C][=C][Branch2][#Branch1][=Branch2][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Branch1][#C][C][=C][C][=C][Branch2][Branch1][Ring2][C][=C][C][=C][Branch1][=N][C][=C][C][=C][C][Branch1][Ring1][O][Cr][=C][Ring1][Branch2][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][=N][C][=C][C][=C][C][Branch1][Ring1][O][Cr][=C][Ring1][Branch2][=C][Ring2][Ring1][#Branch2][S][Ring2][Ring1][=N][S][Ring2][Ring2][C][C][=N][N][Branch1][C][Sc][N][=C][Ring2][Ring2][=C][Ring1][=Branch1][S][Ring2][Branch1][Ring1]
PBDT[2H]T,Cc1ccc(-c2cc3c(O[Cr])c4sc(C)cc4c(O[Cr])c3s2)s1,Cc1sc2c(O[R4])c3cc(c4ccc(C)s4)sc3c(O[R4])c2c1, ,{[$]c1ccc(-c2cc3c(O[Cr])c4sc([$])cc4c(O[Cr])c3s2)s1},[C][C][=C][C][=C][Branch2][Ring1][=C][C][=C][C][=C][Branch1][Ring1][O][Cr][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][Ring1][O][Cr][=C][Ring1][=C][S][Ring1][P][S][Ring2][Ring1][=Branch1]
PBDT[2F]T,Cc1cc2c(O[Cr])c3sc(-c4sc(C)c(F)c4F)cc3c(O[Cr])c2s1,Cc1sc2c(O[R4])c3cc(c4c(F)c(F)c(C)s4)sc3c(O[R4])c2c1, ,{[$]c1cc2c(O[Cr])c3sc(-c4sc([$])c(F)c4F)cc3c(O[Cr])c2s1},[C][C][=C][C][=C][Branch1][Ring1][O][Cr][C][S][C][Branch1][#C][C][S][C][Branch1][C][C][=C][Branch1][C][F][C][=Ring1][#Branch1][F][=C][C][=Ring1][=N][C][Branch1][Ring1][O][Cr][=C][Ring2][Ring1][Branch1][S][Ring2][Ring1][Branch2]
PBDT(T)[2F]T,Cc1cc2c(-c3ccc([Cr])s3)c3sc(-c4sc(C)c(F)c4F)cc3c(-c3ccc([Cr])s3)c2s1,Cc1sc2c(c3sc([R4])cc3)c3cc(c4c(F)c(F)c(C)s4)sc3c(c3sc([R4])cc3)c2c1, ,{[$]c1cc2c(-c3ccc([Cr])s3)c3sc(-c4sc([$])c(F)c4F)cc3c(-c3ccc([Cr])s3)c2s1},[C][C][=C][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][Cr][S][Ring1][=Branch1][C][S][C][Branch1][#C][C][S][C][Branch1][C][C][=C][Branch1][C][F][C][=Ring1][#Branch1][F][=C][C][=Ring1][=N][C][Branch1][O][C][=C][C][=C][Branch1][C][Cr][S][Ring1][=Branch1][=C][Ring2][Ring1][=N][S][Ring2][Ring1][S]
PBDTaNPFBT,Cc1cc2c(-c3cccc4ccccc34)c3sc(-c4sc(-c5c(F)c(F)c(-c6cc([Cr])c(C)s6)c6nsnc56)cc4[Cr])cc3c(O[Fe])c2s1,Cc1sc2c(O[R6])c3cc(c4c([R4])cc(c5c(F)c(F)c(c6cc([R4])c(C)s6)c6c5nsn6)s4)sc3c(c3c4ccccc4ccc3)c2c1, ,{[$]c1cc2c(-c3cccc4ccccc34)c3sc(-c4sc(-c5c(F)c(F)c(-c6cc([Cr])c([$])s6)c6nsnc56)cc4[Cr])cc3c(O[Fe])c2s1},[C][C][=C][C][=C][Branch1][#C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][S][C][Branch2][Ring2][S][C][S][C][Branch2][Ring2][Ring2][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][=C][C][=C][C][Branch1][C][Cr][=C][Branch1][C][C][S][Ring1][#Branch1][C][=N][S][N][=C][Ring2][Ring1][C][Ring1][Branch1][=C][C][=Ring2][Ring1][#Branch1][Cr][=C][C][=Ring2][Ring1][=N][C][Branch1][Ring1][O][Fe][=C][Ring2][Ring2][=N][S][Ring2][Ring2][S]
PBDTbNPFBT,Cc1cc2c(-c3ccc4ccccc4c3)c3sc(-c4sc(-c5c(F)c(F)c(-c6cc([Cr])c(C)s6)c6nsnc56)cc4[Cr])cc3c(O[Fe])c2s1,Cc1sc2c(O[R6])c3cc(c4c([R4])cc(c5c(F)c(F)c(c6cc([R4])c(C)s6)c6c5nsn6)s4)sc3c(c3cc4ccccc4cc3)c2c1, ,{[$]c1cc2c(-c3ccc4ccccc4c3)c3sc(-c4sc(-c5c(F)c(F)c(-c6cc([Cr])c([$])s6)c6nsnc56)cc4[Cr])cc3c(O[Fe])c2s1},[C][C][=C][C][=C][Branch1][#C][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][C][S][C][Branch2][Ring2][S][C][S][C][Branch2][Ring2][Ring2][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][=C][C][=C][C][Branch1][C][Cr][=C][Branch1][C][C][S][Ring1][#Branch1][C][=N][S][N][=C][Ring2][Ring1][C][Ring1][Branch1][=C][C][=Ring2][Ring1][#Branch1][Cr][=C][C][=Ring2][Ring1][=N][C][Branch1][Ring1][O][Fe][=C][Ring2][Ring2][=N][S][Ring2][Ring2][S]
PBDT-DTffBT,Cc1cc2cc3sc(-c4sc(-c5c(F)c(F)c(-c6cc([Fe])c(C)s6)c6nsnc56)cc4[Fe])cc3cc2s1,Cc1sc2cc3cc(c4sc(c5c6nsnc6c(c6cc([R6])c(C)s6)c(F)c5F)cc4[R6])sc3cc2c1, ,{[$]c1cc2cc3sc(-c4sc(-c5c(F)c(F)c(-c6cc([Fe])c([$])s6)c6nsnc56)cc4[Fe])cc3cc2s1},[C][C][=C][C][=C][C][S][C][Branch2][Ring2][S][C][S][C][Branch2][Ring2][Ring2][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][=C][C][=C][C][Branch1][C][Fe][=C][Branch1][C][C][S][Ring1][#Branch1][C][=N][S][N][=C][Ring2][Ring1][C][Ring1][Branch1][=C][C][=Ring2][Ring1][#Branch1][Fe][=C][C][=Ring2][Ring1][=N][C][=C][Ring2][Ring1][P][S][Ring2][Ring2][Ring2]
O-PBDT,Cc1cc2c(O[Cr])c3sc(C)cc3c(O[Cr])c2s1,Cc1sc2c(O[R4])c3cc(C)sc3c(O[R4])c2c1, ,{[$]c1cc2c(O[Cr])c3sc([$])cc3c(O[Cr])c2s1},[C][C][=C][C][=C][Branch1][Ring1][O][Cr][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][Ring1][O][Cr][=C][Ring1][=C][S][Ring1][P]
SO-PBDT,Cc1cc2c(O[Cr])c3sc(-c4cc5c(S[Cr])c6sc(C)cc6c(S[Cr])c5s4)cc3c(O[Cr])c2s1,Cc1sc2c(O[R4])c3cc(c4sc5c(S[R4])c6cc(C)sc6c(S[R4])c5c4)sc3c(O[R4])c2c1, ,{[$]c1cc2c(O[Cr])c3sc(-c4cc5c(S[Cr])c6sc([$])cc6c(S[Cr])c5s4)cc3c(O[Cr])c2s1},[C][C][=C][C][=C][Branch1][Ring1][O][Cr][C][S][C][Branch2][Ring1][=C][C][=C][C][=C][Branch1][Ring1][S][Cr][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][Ring1][S][Cr][=C][Ring1][=C][S][Ring1][P][=C][C][=Ring2][Ring1][=Branch1][C][Branch1][Ring1][O][Cr][=C][Ring2][Ring1][=C][S][Ring2][Ring1][P]
PBDT-KTBDT,Cc1cc2c(O[Cr])c3sc(-c4cc5c(-c6ccc(C(=O)[Cr])s6)c6sc(C)cc6c(C6=CC=C(C(=O)[Cr])C6)c5s4)cc3c(O[Cr])c2s1,Cc1sc2c(O[R4])c3cc(c4sc5c(C6=CC=C(C([R4])=O)C6)c6cc(C)sc6c(c6sc(C([R4])=O)cc6)c5c4)sc3c(O[R4])c2c1, ,{[$]c1cc2c(O[Cr])c3sc(-c4cc5c(-c6ccc(C(=O)[Cr])s6)c6sc([$])cc6c(C6=CC=C(C(=O)[Cr])C6)c5s4)cc3c(O[Cr])c2s1},[C][C][=C][C][=C][Branch1][Ring1][O][Cr][C][S][C][Branch2][Branch1][Branch2][C][=C][C][=C][Branch1][#C][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][Cr][S][Ring1][Branch2][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][#C][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][Cr][C][Ring1][Branch2][=C][Ring2][Ring1][#Branch2][S][Ring2][Ring1][=N][=C][C][=Ring2][Ring2][C][C][Branch1][Ring1][O][Cr][=C][Ring2][Ring2][#Branch2][S][Ring2][Ring2][=N]
PBDT-ROBT,Cc1cc2c(O[Fe])c3sc(-c4c(O[Mn])c(O[Mn])c(C)c5nsnc45)cc3c(O[Fe])c2s1,Cc1sc2c(O[R6])c3cc(c4c5nsnc5c(C)c(O[R5])c4O[R5])sc3c(O[R6])c2c1, ,{[$]c1cc2c(O[Fe])c3sc(-c4c(O[Mn])c(O[Mn])c([$])c5nsnc45)cc3c(O[Fe])c2s1},[C][C][=C][C][=C][Branch1][Ring1][O][Fe][C][S][C][Branch2][Ring1][=Branch2][C][=C][Branch1][Ring1][O][Mn][C][Branch1][Ring1][O][Mn][=C][Branch1][C][C][C][=N][S][N][=C][Ring1][=C][Ring1][Branch1][=C][C][=Ring2][Ring1][Ring1][C][Branch1][Ring1][O][Fe][=C][Ring2][Ring1][O][S][Ring2][Ring1][=C]
PBDT-2T-ROBT,Cc1ccc(-c2ccc(-c3c(O[Mn])c(O[Mn])c(-c4ccc(-c5ccc(-c6cc7c(O[Fe])c8sc(C)cc8c(O[Fe])c7s6)s5)s4)c4nsnc34)s2)s1,Cc1sc2c(O[R6])c3cc(c4ccc(c5sc(c6c7nsnc7c(c7sc(c8ccc(C)s8)cc7)c(O[R5])c6O[R5])cc5)s4)sc3c(O[R6])c2c1, ,{[$]c1ccc(-c2ccc(-c3c(O[Mn])c(O[Mn])c(-c4ccc(-c5ccc(-c6cc7c(O[Fe])c8sc([$])cc8c(O[Fe])c7s6)s5)s4)c4nsnc34)s2)s1},[C][C][=C][C][=C][Branch2][#Branch1][Branch2][C][=C][C][=C][Branch2][=Branch1][=N][C][=C][Branch1][Ring1][O][Mn][C][Branch1][Ring1][O][Mn][=C][Branch2][Branch1][Ring2][C][=C][C][=C][Branch2][Ring2][=Branch2][C][=C][C][=C][Branch2][Ring1][=C][C][=C][C][=C][Branch1][Ring1][O][Fe][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][Ring1][O][Fe][=C][Ring1][=C][S][Ring1][P][S][Ring2][Ring1][=Branch1][S][Ring2][Ring1][O][C][=N][S][N][=C][Ring2][Ring2][Branch2][Ring1][Branch1][S][Ring2][Ring2][=N][S][Ring2][Branch1][C]
PBDT-DTTBT,Cc1cc2c(O[Fe])c3sc(-c4sc(-c5ccc(-c6cc(-c7ccc([Mo])s7)c(C)s6)c6nsnc56)cc4-c4ccc([Mo])s4)cc3c(O[Fe])c2s1,[R6]Oc1c2cc(C)sc2c(O[R6])c2cc(c3c(c4ccc([R14])s4)cc(c4c5nsnc5c(c5cc(c6sc([R14])cc6)c(C)s5)cc4)s3)sc21, ,{[$]c1cc2c(O[Fe])c3sc(-c4sc(-c5ccc(-c6cc(-c7ccc([Mo])s7)c([$])s6)c6nsnc56)cc4-c4ccc([Mo])s4)cc3c(O[Fe])c2s1},[C][C][=C][C][=C][Branch1][Ring1][O][Fe][C][S][C][Branch2][Branch1][=N][C][S][C][Branch2][Ring2][Branch2][C][=C][C][=C][Branch2][Ring1][#Branch1][C][=C][C][Branch1][O][C][=C][C][=C][Branch1][C][Mo][S][Ring1][=Branch1][=C][Branch1][C][C][S][Ring1][N][C][=N][S][N][=C][Ring2][Ring1][Branch1][Ring1][Branch1][=C][C][=Ring2][Ring1][#Branch2][C][=C][C][=C][Branch1][C][Mo][S][Ring1][=Branch1][=C][C][=Ring2][Ring2][Branch1][C][Branch1][Ring1][O][Fe][=C][Ring2][Ring2][=N][S][Ring2][Ring2][S]
PBDT-TBT,Cc1ccc(-c2c(O[Cr])c(O[Cr])c(-c3ccc(-c4cc5c(-c6ccc([Cr])s6)c6sc(C)cc6c(-c6ccc([Cr])s6)c5s4)s3)c3nsnc23)s1,Cc1ccc(c2c3nsnc3c(c3ccc(c4sc5c(c6sc([R4])cc6)c6cc(C)sc6c(c6sc([R4])cc6)c5c4)s3)c(O[R4])c2O[R4])s1, ,{[$]c1ccc(-c2c(O[Cr])c(O[Cr])c(-c3ccc(-c4cc5c(-c6ccc([Cr])s6)c6sc([$])cc6c(-c6ccc([Cr])s6)c5s4)s3)c3nsnc23)s1},[C][C][=C][C][=C][Branch2][#Branch1][Ring2][C][=C][Branch1][Ring1][O][Cr][C][Branch1][Ring1][O][Cr][=C][Branch2][Branch1][O][C][=C][C][=C][Branch2][Ring2][S][C][=C][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][Cr][S][Ring1][=Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][O][C][=C][C][=C][Branch1][C][Cr][S][Ring1][=Branch1][=C][Ring2][Ring1][=Branch1][S][Ring2][Ring1][=Branch2][S][Ring2][Ring1][=C][C][=N][S][N][=C][Ring2][Ring2][O][Ring1][Branch1][S][Ring2][Ring2][S]
