Acceptor,SMILES,SMILES w/o R_group replacement,BigSMILES,SELFIES,SMILES w/o R_group
IOIC2,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc3-c3sc4c(c(CCCCCC)cc5c4cc(CCCCCC)c4c6c(sc45)-c4sc(/C=C5\C(=O)c7cc(F)c(F)cc7C5=C(C#N)C#N)cc4C6(c4ccc(CCCCCC)cc4)c4ccc(CCCCCC)cc4)c32)cc1,O=C(c1cc(F)c(F)cc1C/2=C(C#N)/C#N)C2=C/c3sc4c(C(c5ccc([R14])cc5)(c6ccc([R14])cc6)c7c8c([R14])cc9c%10sc(c%11sc(/C=C%12C(c%13cc(F)c(F)cc%13C\%12=C(C#N)\C#N)=O)cc%11C%14(c%15ccc([R14])cc%15)c%16ccc([R14])cc%16)c%14c%10c([R14])cc9c8sc74)c3, , , 
IT-4F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,[R14]c%17ccc(C%18(c%19ccc([R14])cc%19)c%20c%21sc(/C=C%22C(c%23cc(F)c(F)cc%23C\%22=C(C#N)\C#N)=O)cc%21sc%20c%24cc%25c(c%26sc%27cc(/C=C%28C(c%29cc(F)c(F)cc%29C\%28=C(C#N)\C#N)=O)sc%27c%26C(c%30ccc([R14])cc%30)%25c%31ccc([R14])cc%31)cc%24%18)cc%17, , , 
IEIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)cc5CC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc3CC(CC)CCCC)sc2-4)cc1,[R14]c%32ccc(C%33(c%34ccc([R14])cc%34)c%35cc(c%36c([R4])cc(/C=C%37C(c%38ccccc%38C\%37=C(C#N)\C#N)=O)s%36)sc%35c%39cc%40c(c%41sc(c%42c([R4])cc(/C=C%43C(c%44ccccc%44C\%43=C(C#N)\C#N)=O)s%42)cc%41C(c%45ccc([R14])cc%45)%40c%46ccc([R14])cc%46)cc%39%33)cc%32, , , 
DTPC-DFIC,CCCCCCCCC(CCCCCC)Cn1c2cc3c4c(ccc5c6ccc7c8c(cc1c(c86)c2c45)-c1sc(/C=C2\C(=O)c4cc(F)c(F)cc4C2=C(C#N)C#N)cc1C7(c1ccc(CCCCCC)cc1)c1ccc(CCCCCC)cc1)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc(/C=C2\C(=O)c4cc(F)c(F)cc4C2=C(C#N)C#N)sc1-3,O=C(c%47cc(F)c(F)cc%47C/%48=C(C#N)/C#N)C%48=C/c%49sc(c(cc(c%50c%51%52)n%53[R1])c%52c(C(c%54ccc([R14])cc%54)%55c%56ccc([R14])cc%56)ccc%51c%57c%58c%50c%53cc%59c%58c(C(c%60ccc([R14])cc%60)(c%61ccc([R14])cc%61)c%62c%59sc(/C=C%63/C(c%64c(C%63=O)cc(F)c(F)c%64)=C(C#N)/C#N)c%62)cc%57)c%55c%49, , , 
DICTF,CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2ccc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21,O=C%65c%66c(C(/C%65=C/c%67ccc(c%68cc(C%69([R2])[R2])c(c%70c%69cc(c%71sc(/C=C%72C(c%73ccccc%73C\%72=C(C#N)\C#N)=O)cc%71)cc%70)cc%68)s%67)=C(C#N)\C#N)cccc%66, , , 
ITBTR-C8,CCCCCCCCn1c(=C(C#N)C#N)s/c(=C\c2ccc(-c3cc4sc5c(c4s3)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3cc4c(cc3-5)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3c-4sc4cc(-c5ccc(/C=c6\sc(=C(C#N)C#N)n(CCCCCCCC)c6=O)c6nsnc56)sc34)c3nsnc23)c1=O,[R14]c%74ccc(C%75(c%76ccc([R14])cc%76)c%77c(c%78cc%79c(c%80sc%81cc(c%82ccc(/C=C%83S/C(N(CCCCCCCC)C\%83=O)=C(C#N)/C#N)c%84c%82nsn%84)sc%81c%80C(c%85ccc([R14])cc%85)%79c%86ccc([R14])cc%86)cc%78%75)sc%87cc(c%88ccc(/C=C%89S/C(N(CCCCCCCC)C\%89=O)=C(C#N)/C#N)c%90c%88nsn%90)sc%87%77)cc%74, , , 
m-MeIC,CCCCCCc1cccc(C2(c3cccc(CCCCCC)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7c(csc7C)C6=C(C#N)C#N)sc5c32)C(c2cccc(CCCCCC)c2)(c2cccc(CCCCCC)c2)c2c-4sc3cc(/C=C4\C(=O)c5c(csc5C)C4=C(C#N)C#N)sc23)c1,O=C(c%91c(C)scc%91C/%92=C(C#N)/C#N)C%92=C/c%93sc%94c%95c(c%96cc%97c(c%98sc%99cc(/C=C1C(c2c(C)scc2C\1=C(C#N)\C#N)=O)sc%99c%98C(c1cc([R14])ccc1)%97c1cccc([R14])c1)cc%96C%95(c1cc([R14])ccc1)c1cccc([R14])c1)sc%94c%93, , , 
IEICO,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)cc5OCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc3OCC(CC)CCCC)sc2-4)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(c4sc(/C=C5C(c6ccccc6C\5=C(C#N)\C#N)=O)cc4O[R4])sc3c3cc4c(c5sc(c6c(O[R4])cc(/C=C7C(c8ccccc8C\7=C(C#N)\C#N)=O)s6)cc5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1, , , 
IT-M,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(C)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc23)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc(/C=C5C(c6ccc(C)cc6C\5=C(C#N)\C#N)=O)cc4sc3c3cc4c(c5sc6cc(/C=C7C(c8ccc(C)cc8C\7=C(C#N)\C#N)=O)sc6c5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1, , , 
IEICO-4Cl,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cc(Cl)c(Cl)cc7C6=C(C#N)C#N)cc5OCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6cc(Cl)c(Cl)cc6C5=C(C#N)C#N)cc3OCC(CC)CCCC)sc2-4)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(c4c(O[R4])cc(/C=C5C(c6cc(Cl)c(Cl)cc6C\5=C(C#N)\C#N)=O)s4)sc3c3cc4c(c5sc(c6c(O[R4])cc(/C=C7C(c8cc(Cl)c(Cl)cc8C\7=C(C#N)\C#N)=O)s6)cc5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1, , , 
IEICO-4F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)cc5OCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc3OCC(CC)CCCC)sc2-4)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(c4c(O[R4])cc(/C=C5C(c6cc(F)c(F)cc6C\5=C(C#N)\C#N)=O)s4)sc3c3cc4c(c5sc(c6c(O[R4])cc(/C=C7C(c8cc(F)c(F)cc8C\7=C(C#N)\C#N)=O)s6)cc5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1, , , 
i-IEICO-4F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5scc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)c5OCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3scc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)c3OCC(CC)CCCC)sc2-4)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(c4c(O[R4])c(/C=C5C(c6cc(F)c(F)cc6C\5=C(C#N)\C#N)=O)cs4)sc3c3cc4c(c5sc(c6c(O[R4])c(/C=C7C(c8cc(F)c(F)cc8C\7=C(C#N)\C#N)=O)cs6)cc5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1, , , 
ITVIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,O=C1c2c(C(/C1=C/C=C/c1cc3sc4c(C(c5ccc([R14])cc5)(c5ccc([R14])cc5)c5c4cc(C(c4ccc([R14])cc4)(c4c6sc7c4sc(/C=C/C=C4/C(c8c(C4=O)cccc8)=C(C#N)/C#N)c7)c4ccc([R14])cc4)c6c5)c3s1)=C(C#N)\C#N)cccc2, , , 
ITVffIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,O=C1C2=C(C(/C1=C/C=C/C1=CC(SC3=C4C(C5=CC=C(C=C5)[R14])(C5=CC=C(C=C5)[R14])C(C=C56)=C3C=C6C(C3=CC=C(C=C3)[R14])(C3=C5SC5=C3SC(/C=C/C=C3/C(C6=C(C3=O)C=C(F)C(F)=C6)=C(C#N)/C#N)=C5)C3=CC=C(C=C3)[R14])=C4S1)=C(C#N)\C#N)C=C(F)C(F)=C2, , , 
IDT-IC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)sc2-4)cc1,O=C1c2ccccc2C(/C1=C/c1cc2c(c3cc4c(c5sc(/C=C6/C(c7ccccc7C6=O)=C(C#N)\C#N)cc5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc3C2(c2ccc([R14])cc2)c2ccc([R14])cc2)s1)=C(C#N)/C#N, , , 
SJ-IC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(/C=C/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)sc2-4)cc1,O=C1c2ccccc2C(/C1=C/C=C/c1cc2c(c3cc4c(c5sc(/C=C/C=C6/C(c7ccccc7C6=O)=C(C#N)\C#N)cc5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc3C2(c2ccc([R14])cc2)c2ccc([R14])cc2)s1)=C(C#N)/C#N, , , 
IC-C6IDT-IC,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,O=C1c2ccccc2C(/C1=C/c1cc2c(c3cc4c(c5sc(/C=C6/C(c7ccccc7C6=O)=C(C#N)\C#N)cc5C4([R14])[R14])cc3C2([R14])[R14])s1)=C(C#N)/C#N, , , 
BT-IC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4c(OCC(CC)CCCC)c5c6c(sc5c(OCC(CC)CCCC)c4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,O=C(c1ccccc1C/1=C(C#N)/C#N)C1=C/c1sc(c2sc3c(O[R4])c4c(C(c5ccc([R14])cc5)(c5ccc([R14])cc5)c5cc(/C=C6C(c7ccccc7C\6=C(C#N)\C#N)=O)sc55)c5sc4c(O[R4])c3c2C2(c3ccc([R14])cc3)c3ccc([R14])cc3)c2c1, , , 
A201,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,O=C1c2ccccc2C(/C1=C/c1cc2c(c3cc4c(c5sc6cc(/C=C7C(c8c(C\7=C(C#N)/C#N)cccc8)=O)sc6c5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc3C2(c2ccc([R14])cc2)c2ccc([R14])cc2)s1)=C(C#N)/C#N, , , 
BTA13,CCCCCCCCn1nc2c(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)ccc(-c3cc4sc5c(c4s3)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3cc4c(cc3-5)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3c-4sc4cc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc56)sc34)c2n1,[R14]c1ccc(C(c2ccc([R14])cc2)(c2c3sc4cc(c5c6nn([R2])nc6c(/C=C6C(N(CC)/C(S\6)=C(C#N)/C#N)=O)cc5)sc24)c2c3cc(C(c3ccc([R14])cc3)(c3c4sc5cc(c6c7nn([R2])nc7c(/C=C7C(N(CC)/C(S\7)=C(C#N)/C#N)=O)cc6)sc35)c3ccc([R14])cc3)c4c2)cc1, , , 
IDTT-BH,CCCCC(CC)Cc1ccc(C2(c3ccc(CC(CC)CCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc8ccccc8cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC(CC)CCCC)cc2)(c2ccc(CC(CC)CCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc6ccccc6cc5C4=C(C#N)C#N)sc23)cc1,O=C1c2c(C(/C1=C/c1cc3sc4c(C(c5ccc([R4])cc5)(c5ccc([R4])cc5)c5c4cc(C(c4ccc([R4])cc4)(c4c6sc7c4sc(/C=C4/C(c8c(C4=O)cc4ccccc4c8)=C(C#N)/C#N)c7)c4ccc([R4])cc4)c6c5)c3s1)=C(C#N)\C#N)cc1ccccc1c2, , , 
IDTT-OBH,CCCCC(CC)COc1ccc(C2(c3ccc(OCC(CC)CCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc8ccccc8cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(OCC(CC)CCCC)cc2)(c2ccc(OCC(CC)CCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc6ccccc6cc5C4=C(C#N)C#N)sc23)cc1,O=C1c2c(C(/C1=C/c1cc3sc4c(C(c5ccc(O[R4])cc5)(c5ccc(O[R4])cc5)c5c4cc(C(c4ccc(O[R4])cc4)(c4c6sc7c4sc(/C=C4/C(c8c(C4=O)cc4ccccc4c8)=C(C#N)/C#N)c7)c4ccc(O[R4])cc4)c6c5)c3s1)=C(C#N)\C#N)cc1ccccc1c2, , , 
6TIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6ccccc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,O=C1c2c(C(/C1=C/c1cc3sc4c(C(c5ccc([R14])cc5)(c5c4sc4c5sc5c4C(c4ccc([R14])cc4)(c4c5sc5c4sc(/C=C4/C(c6c(C4=O)cccc6)=C(C#N)/C#N)c5)c4ccc([R14])cc4)c4ccc([R14])cc4)c3s1)=C(C#N)\C#N)cccc2, , , 
TP21,CCCCCCCCC1(CCCCCCCC)c2cc(-c3sc(/C=C4/SC(=S)N(CC)C4=O)c4nc(-c5ccccc5)c(-c5ccccc5)nc34)ccc2-c2ccc(-c3sc(/C=C4/SC(=S)N(CC)C4=O)c4nc(-c5ccccc5)c(-c5ccccc5)nc34)cc21,S=C(N(C/1=O)CC)SC1=C\c1c2c(nc(c3ccccc3)c(c3ccccc3)n2)c(c2cc3c(c4c(C3([R2])[R2])cc(c3sc(/C=C5C(N(CC)C(S\5)=S)=O)c5nc(c6ccccc6)c(c6ccccc6)nc53)cc4)cc2)s1, , , 
IDT-2BR,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\SC(=S)N(CC)C6=O)c6nsnc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(/C=C5\SC(=S)N(CC)C5=O)c5nsnc35)sc2-4)cc1,S=C(N(C/1=O)CC)SC1=C/c1c2nsnc2c(c2cc3c(c4cc5c(c6c(C(c7ccc([R14])cc7)5c5ccc([R14])cc5)cc(c5c7nsnc7c(/C=C7SC(N(C\7=O)CC)=S)cc5)s6)cc4C3(c3ccc([R14])cc3)c3ccc([R14])cc3)s2)cc1, , , 
IDT-BT-RF3,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\SC(=S)N(CC(F)(F)F)C6=O)c6nsnc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(/C=C5\SC(=S)N(CC(F)(F)F)C5=O)c5nsnc35)sc2-4)cc1,S=C(N(C/1=O)CC(F)(F)F)SC1=C/c1c2nsnc2c(c2cc3c(c4cc5c(c6c(C(c7ccc([R14])cc7)5c5ccc([R14])cc5)cc(c5c7nsnc7c(/C=C7SC(N(C\7=O)CC(F)(F)F)=S)cc5)s6)cc4C3(c3ccc([R14])cc3)c3ccc([R14])cc3)s2)cc1, , , 
IDT-BT-RO,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\SC(=S)N(COC)C6=O)c6nsnc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(/C=C5\SC(=S)N(COC)C5=O)c5nsnc35)sc2-4)cc1,S=C(N(C/1=O)COC)SC1=C/c1c2nsnc2c(c2cc3c(c4cc5c(c6c(C(c7ccc([R14])cc7)5c5ccc([R14])cc5)cc(c5c7nsnc7c(/C=C7SC(N(C\7=O)COC)=S)cc5)s6)cc4C3(c3ccc([R14])cc3)c3ccc([R14])cc3)s2)cc1, , , 
IDT-BT-RN,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\SC(=S)N(N7CCCCC7)C6=O)c6nsnc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(/C=C5\SC(=S)N(N6CCCCC6)C5=O)c5nsnc35)sc2-4)cc1,S=C(N(C/1=O)N2CCCCC2)SC1=C/c1c2nsnc2c(c2cc3c(c4cc5c(c6c(C(c7ccc([R14])cc7)5c5ccc([R14])cc5)cc(c5c7nsnc7c(/C=C7SC(N(C\7=O)N7CCCCC7)=S)cc5)s6)cc4C3(c3ccc([R14])cc3)c3ccc([R14])cc3)s2)cc1, , , 
IDT-O-IC,CCCCCCOc1ccc(C2(c3ccc(OCCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc(OCCCCCC)cc2)(c2ccc(OCCCCCC)cc2)c2cc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)sc2-4)cc1,O=C1c2c(C(/C1=C/c1cc(C(c3ccc(O[R14])cc3)(c3ccc(O[R14])cc3)c3c4cc(C(c5ccc(O[R14])cc5)5c6ccc(O[R14])cc6)c(c6c5cc(/C=C5/C(c7c(C5=O)cccc7)=C(C#N)/C#N)s6)c3)c4s1)=C(C#N)\C#N)cccc2, , , 
spiro-IDT-O-IC,CCCCCCOc1ccc2c(c1)-c1cc(OCCCCCC)ccc1C21c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C1(c2ccc(OCCCCCC)cc2-c2cc(OCCCCCC)ccc21)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,O=C1c2c(C(/C1=C/c1cc(C3(c4ccc(O[R14])cc4c4c3ccc(O[R14])c4)c3c4cc(C56c7ccc(O[R14])cc7c7c5ccc(O[R14])c7)c(c5c6cc(/C=C6/C(c7c(C6=O)cccc7)=C(C#N)/C#N)s5)c3)c4s1)=C(C#N)\C#N)cccc2, , , 
ICBF-O,CCCCCCCCc1cc(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc1-c1ccc2c(c1)C(CCCCCCCC)(CCCCCCCC)c1cc3c(cc1-2)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc2CCCCCCCC)ccc1-3,[R2]C1([R2])c2cc(c3sc(/C=C4C(c5ccccc5C\4=C(C#N)\C#N)=O)cc3[R2])ccc2c2cc3c(c4ccc(c5sc(/C=C6C(c7ccccc7C\6=C(C#N)\C#N)=O)cc5[R2])cc4C([R2])3[R2])cc21, , , 
ICBF,CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2cc3c(cc21)-c1ccc(-c2ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s2)cc1C3(CCCCCCCC)CCCCCCCC,[R2]C1([R2])c2cc(c3sc(/C=C4C(c5ccccc5C\4=C(C#N)\C#N)=O)cc3)ccc2c2cc3c(c4ccc(c5sc(/C=C6C(c7ccccc7C\6=C(C#N)\C#N)=O)cc5)cc4C([R2])3[R2])cc21, , , 
FICBF-O,CCCCCCCCc1cc(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc1-c1ccc2c(c1)C(CCCCCCCC)(CCCCCCCC)c1cc3c(cc1-2)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc2CCCCCCCC)ccc1-3,[R2]C1([R2])c2cc(c3sc(/C=C4C(c5cc(F)c(F)cc5C\4=C(C#N)\C#N)=O)cc3[R2])ccc2c2cc3c(c4ccc(c5sc(/C=C6C(c7cc(F)c(F)cc7C\6=C(C#N)\C#N)=O)cc5[R2])cc4C([R2])3[R2])cc21, , , 
FICBF,CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)s3)ccc2-c2cc3c(cc21)-c1ccc(-c2ccc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)s2)cc1C3(CCCCCCCC)CCCCCCCC,[R2]C1([R2])c2cc(c3sc(/C=C4C(c5cc(F)c(F)cc5C\4=C(C#N)\C#N)=O)cc3)ccc2c2cc3c(c4ccc(c5sc(/C=C6C(c7cc(F)c(F)cc7C\6=C(C#N)\C#N)=O)cc5)cc4C([R2])3[R2])cc21, , , 
BT-F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5cc(F)ccc5C4=C(C#N)C#N)sc3-c3sc4c(OCC(CC)CCCC)c5c6c(sc5c(OCC(CC)CCCC)c4c32)-c2sc(/C=C3\C(=O)c4cc(F)ccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,[R4]OC1=C2C(C(C3=CC=C([R14])C=C3)(C4=C5SC(/C=C6C(C7=C(C\6=C(C#N)\C#N)C=CC(F)=C7)=O)=C4)C8=CC=C([R14])C=C8)=C5SC2=C(O[R4])C9=C1SC%10=C9C(C%11=CC=C([R14])C=C%11)(C%12=C%10SC(/C=C%13C(C%14=C(C\%13=C(C#N)\C#N)C=CC(F)=C%14)=O)=C%12)C%15=CC=C([R14])C=C%15, , , 
BT-2F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc3-c3sc4c(OCC(CC)CCCC)c5c6c(sc5c(OCC(CC)CCCC)c4c32)-c2sc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(/C=C4C(c5cc(F)c(F)cc5C\4=C(C#N)\C#N)=O)sc3c3sc4c(O[R4])c5c6c(c7sc(/C=C8C(c9cc(F)c(F)cc9C\8=C(C#N)\C#N)=O)cc7C6(c6ccc([R14])cc6)c6ccc([R14])cc6)sc5c(O[R4])c4c32)cc1, , , 
